Zulu dateTime;measure_temperature
2019-06-04 16:00:00;null
2019-06-04 17:00:00;null
2019-06-04 18:00:00;null
2019-06-04 19:00:00;null
2019-06-04 20:00:00;null
2019-06-04 21:00:00;null
2019-06-04 22:00:00;null
2019-06-04 23:00:00;null
2019-06-05 00:00:00;null
2019-06-05 01:00:00;null
2019-06-05 02:00:00;null
2019-06-05 03:00:00;null
2019-06-05 04:00:00;null
2019-06-05 05:00:00;null
2019-06-05 06:00:00;null
2019-06-05 07:00:00;null
2019-06-05 08:00:00;null
2019-06-05 09:00:00;null
2019-06-05 10:00:00;null
2019-06-05 11:00:00;null
2019-06-05 12:00:00;null
2019-06-05 13:00:00;null
2019-06-05 14:00:00;null
2019-06-05 15:00:00;null
2019-06-05 16:00:00;null
2019-06-05 17:00:00;null
2019-06-05 18:00:00;null
2019-06-05 19:00:00;null
2019-06-05 20:00:00;null
2019-06-05 21:00:00;null
2019-06-05 22:00:00;null
2019-06-05 23:00:00;null
2019-06-06 00:00:00;null
2019-06-06 01:00:00;null
2019-06-06 02:00:00;null
2019-06-06 03:00:00;null
2019-06-06 04:00:00;null
2019-06-06 05:00:00;null
2019-06-06 06:00:00;null
2019-06-06 07:00:00;null
2019-06-06 08:00:00;null
2019-06-06 09:00:00;null
2019-06-06 10:00:00;null
2019-06-06 11:00:00;null
2019-06-06 12:00:00;null
2019-06-06 13:00:00;null
2019-06-06 14:00:00;null
2019-06-06 15:00:00;null
2019-06-06 16:00:00;null
2019-06-06 17:00:00;null
2019-06-06 18:00:00;null
2019-06-06 19:00:00;null
2019-06-06 20:00:00;null
2019-06-06 21:00:00;null
2019-06-06 22:00:00;null
2019-06-06 23:00:00;null
2019-06-07 00:00:00;null
2019-06-07 01:00:00;null
2019-06-07 02:00:00;null
2019-06-07 03:00:00;null
2019-06-07 04:00:00;null
2019-06-07 05:00:00;null
2019-06-07 06:00:00;null
2019-06-07 07:00:00;null
2019-06-07 08:00:00;null
2019-06-07 09:00:00;null
2019-06-07 10:00:00;null
2019-06-07 11:00:00;null
2019-06-07 12:00:00;null
2019-06-07 13:00:00;null
2019-06-07 14:00:00;null
2019-06-07 15:00:00;null
2019-06-07 16:00:00;null
2019-06-07 17:00:00;null
2019-06-07 18:00:00;null
2019-06-07 19:00:00;null
2019-06-07 20:00:00;null
2019-06-07 21:00:00;null
2019-06-07 22:00:00;null
2019-06-07 23:00:00;null
2019-06-08 00:00:00;null
2019-06-08 01:00:00;null
2019-06-08 02:00:00;null
2019-06-08 03:00:00;null
2019-06-08 04:00:00;null
2019-06-08 05:00:00;null
2019-06-08 06:00:00;null
2019-06-08 07:00:00;null
2019-06-08 08:00:00;null
2019-06-08 09:00:00;null
2019-06-08 10:00:00;null
2019-06-08 11:00:00;null
2019-06-08 12:00:00;null
2019-06-08 13:00:00;null
2019-06-08 14:00:00;null
2019-06-08 15:00:00;null
2019-06-08 16:00:00;null
2019-06-08 17:00:00;null
2019-06-08 18:00:00;null
2019-06-08 19:00:00;null
2019-06-08 20:00:00;null
2019-06-08 21:00:00;null
2019-06-08 22:00:00;null
2019-06-08 23:00:00;null
2019-06-09 00:00:00;null
2019-06-09 01:00:00;null
2019-06-09 02:00:00;null
2019-06-09 03:00:00;null
2019-06-09 04:00:00;null
2019-06-09 05:00:00;null
2019-06-09 06:00:00;null
2019-06-09 07:00:00;null
2019-06-09 08:00:00;null
2019-06-09 09:00:00;null
2019-06-09 10:00:00;null
2019-06-09 11:00:00;null
2019-06-09 12:00:00;null
2019-06-09 13:00:00;null
2019-06-09 14:00:00;null
2019-06-09 15:00:00;null
2019-06-09 16:00:00;null
2019-06-09 17:00:00;null
2019-06-09 18:00:00;null
2019-06-09 19:00:00;null
2019-06-09 20:00:00;null
2019-06-09 21:00:00;null
2019-06-09 22:00:00;null
2019-06-09 23:00:00;null
2019-06-10 00:00:00;null
2019-06-10 01:00:00;null
2019-06-10 02:00:00;null
2019-06-10 03:00:00;null
2019-06-10 04:00:00;null
2019-06-10 05:00:00;null
2019-06-10 06:00:00;null
2019-06-10 07:00:00;null
2019-06-10 08:00:00;null
2019-06-10 09:00:00;null
2019-06-10 10:00:00;null
2019-06-10 11:00:00;null
2019-06-10 12:00:00;null
2019-06-10 13:00:00;null
2019-06-10 14:00:00;null
2019-06-10 15:00:00;null
2019-06-10 16:00:00;null
2019-06-10 17:00:00;null
2019-06-10 18:00:00;null
2019-06-10 19:00:00;null
2019-06-10 20:00:00;null
2019-06-10 21:00:00;null
2019-06-10 22:00:00;null
2019-06-10 23:00:00;null
2019-06-11 00:00:00;null
2019-06-11 01:00:00;null
2019-06-11 02:00:00;null
2019-06-11 03:00:00;null
2019-06-11 04:00:00;null
2019-06-11 05:00:00;null
2019-06-11 06:00:00;null
2019-06-11 07:00:00;null
2019-06-11 08:00:00;null
2019-06-11 09:00:00;null
2019-06-11 10:00:00;null
2019-06-11 11:00:00;null
2019-06-11 12:00:00;null
2019-06-11 13:00:00;null
2019-06-11 14:00:00;null
2019-06-11 15:00:00;null
2019-06-11 16:00:00;null
2019-06-11 17:00:00;24,075833333333282
2019-06-11 18:00:00;24,230527777777855
2019-06-11 19:00:00;24,80719444444448
2019-06-11 20:00:00;23,90158333333355
2019-06-11 21:00:00;23,597541666666768
2019-06-11 22:00:00;23,290513888888828
2019-06-11 23:00:00;22,920138888888943
2019-06-12 00:00:00;22,85519444444454
2019-06-12 01:00:00;22,623652777777625
2019-06-12 02:00:00;22,332361111111148
2019-06-12 03:00:00;22,32343055555552
2019-06-12 04:00:00;22,19108333333341
2019-06-12 05:00:00;22,66170833333333
2019-06-12 06:00:00;23,274805555555336
2019-06-12 07:00:00;23,344222222222193
2019-06-12 08:00:00;23,275583333333145
2019-06-12 09:00:00;23,274999999999718
2019-06-12 10:00:00;23,29949999999966
2019-06-12 11:00:00;23,263722222222047
2019-06-12 12:00:00;23,271305555555525
2019-06-12 13:00:00;23,313499999999834
2019-06-12 14:00:00;23,613638888888943
2019-06-12 15:00:00;24,072347222222202
2019-06-12 16:00:00;25,21248611111136
2019-06-12 17:00:00;24,733861111111256
2019-06-12 18:00:00;24,947652777777968
2019-06-12 19:00:00;24,07950000000002
2019-06-12 20:00:00;23,53654166666647
2019-06-12 21:00:00;23,28666666666638
2019-06-12 22:00:00;23,216861111111
2019-06-12 23:00:00;23,141805555555685
2019-06-13 00:00:00;23,10505555555532
2019-06-13 01:00:00;23,188083333333292
2019-06-13 02:00:00;22,891361111111312
2019-06-13 03:00:00;22,697500000000005
2019-06-13 04:00:00;22,58933333333307
2019-06-13 05:00:00;22,53812499999985
2019-06-13 06:00:00;22,453972222222077
2019-06-13 07:00:00;22,68350000000014
2019-06-13 08:00:00;24,25395833333321
2019-06-13 09:00:00;23,45568055555548
2019-06-13 10:00:00;23,178361111111077
2019-06-13 11:00:00;23,290166666666604
2019-06-13 12:00:00;23,263333333333172
2019-06-13 13:00:00;23,403569444444283
2019-06-13 14:00:00;24,26459722222229
2019-06-13 15:00:00;25,296916666666714
2019-06-13 16:00:00;24,16855555555561
2019-06-13 17:00:00;23,84500000000009
2019-06-13 18:00:00;23,56687499999971
2019-06-13 19:00:00;23,48448611111145
2019-06-13 20:00:00;25,201722222222127
2019-06-13 21:00:00;24,63818055555584
2019-06-13 22:00:00;23,882527777778034
2019-06-13 23:00:00;23,452472222222042
2019-06-14 00:00:00;23,35647222222198
2019-06-14 01:00:00;23,228138888888815
2019-06-14 02:00:00;23,1466666666667
2019-06-14 03:00:00;23,02825000000022
2019-06-14 04:00:00;22,902250000000112
2019-06-14 05:00:00;22,71266666666651
2019-06-14 06:00:00;22,514569444444398
2019-06-14 07:00:00;22,534999999999847
2019-06-14 08:00:00;22,455624999999745
2019-06-14 09:00:00;22,4270833333331
2019-06-14 10:00:00;22,307027777777755
2019-06-14 11:00:00;22,319805555555387
2019-06-14 12:00:00;22,430652777777357
2019-06-14 13:00:00;22,639805555555675
2019-06-14 14:00:00;23,17136111111081
2019-06-14 15:00:00;23,28724999999981
2019-06-14 16:00:00;23,56854166666667
2019-06-14 17:00:00;25,477875000000026
2019-06-14 18:00:00;24,492888888888817
2019-06-14 19:00:00;23,98927777777815
2019-06-14 20:00:00;24,55226388888876
2019-06-14 21:00:00;26,014541666666823
2019-06-14 22:00:00;24,973236111110943
2019-06-14 23:00:00;26,502236111111007
2019-06-15 00:00:00;25,76134722222234
2019-06-15 01:00:00;25,002208333333506
2019-06-15 02:00:00;24,462944444444688
2019-06-15 03:00:00;24,428333333333576
2019-06-15 04:00:00;24,358083333333564
2019-06-15 05:00:00;24,864041666666623
2019-06-15 06:00:00;25,031388888888603
2019-06-15 07:00:00;24,454972222222366
2019-06-15 08:00:00;24,38127777777784
2019-06-15 09:00:00;24,35833333333367
2019-06-15 10:00:00;24,405000000000413
2019-06-15 11:00:00;24,358333333333505
2019-06-15 12:00:00;24,311666666666927
2019-06-15 13:00:00;24,27627777777792
2019-06-15 14:00:00;24,266944444444345
2019-06-15 15:00:00;24,276861111111163
2019-06-15 16:00:00;24,322166666666675
2019-06-15 17:00:00;24,220472222222128
2019-06-15 18:00:00;24,054222222222016
2019-06-15 19:00:00;24,079305555555482
2019-06-15 20:00:00;23,810583333333607
2019-06-15 21:00:00;23,608736111111206
2019-06-15 22:00:00;23,569597222222303
2019-06-15 23:00:00;23,45106944444462
2019-06-16 00:00:00;23,42911111111127
2019-06-16 01:00:00;23,39108333333338
2019-06-16 02:00:00;23,356666666666424
2019-06-16 03:00:00;23,403722222222054
2019-06-16 04:00:00;23,368333333333467
2019-06-16 05:00:00;23,29852777777752
2019-06-16 06:00:00;23,37786111111081
2019-06-16 07:00:00;23,33547222222199
2019-06-16 08:00:00;23,333333333333204
2019-06-16 09:00:00;23,222888888888807
2019-06-16 10:00:00;23,256374999999846
2019-06-16 11:00:00;23,786152777777925
2019-06-16 12:00:00;23,36444444444441
2019-06-16 13:00:00;23,232222222222
2019-06-16 14:00:00;23,494236111111
2019-06-16 15:00:00;23,70022222222249
2019-06-16 16:00:00;23,39847222222213
2019-06-16 17:00:00;25,336833333333164
2019-06-16 18:00:00;26,178916666666726
2019-06-16 19:00:00;24,512680555555566
2019-06-16 20:00:00;23,988625000000322
2019-06-16 21:00:00;23,486499999999857
2019-06-16 22:00:00;23,38083333333299
2019-06-16 23:00:00;23,310194444444164
2019-06-17 00:00:00;23,23786111111116
2019-06-17 01:00:00;23,118861111111077
2019-06-17 02:00:00;23,015222222222533
2019-06-17 03:00:00;23,22055555555548
2019-06-17 04:00:00;23,16163888888882
2019-06-17 05:00:00;22,988138888888816
2019-06-17 06:00:00;23,522291666666526
2019-06-17 07:00:00;23,32419444444424
2019-06-17 08:00:00;24,64647222222213
2019-06-17 09:00:00;25,21770833333337
2019-06-17 10:00:00;24,17536111111113
2019-06-17 11:00:00;23,61227777777755
2019-06-17 12:00:00;23,419374999999846
2019-06-17 13:00:00;23,355694444444257
2019-06-17 14:00:00;23,309999999999953
2019-06-17 15:00:00;23,39127777777787
2019-06-17 16:00:00;25,17958333333309
2019-06-17 17:00:00;25,105236111111047
2019-06-17 18:00:00;24,977388888888964
2019-06-17 19:00:00;24,43902777777796
2019-06-17 20:00:00;24,14872222222224
2019-06-17 21:00:00;24,303500000000103
2019-06-17 22:00:00;24,45808333333339
2019-06-17 23:00:00;24,332041666666843
2019-06-18 00:00:00;24,62180555555581
2019-06-18 01:00:00;24,233888888888835
2019-06-18 02:00:00;23,65454166666648
2019-06-18 03:00:00;23,342083333333278
2019-06-18 04:00:00;23,274999999999782
2019-06-18 05:00:00;23,263333333333147
2019-06-18 06:00:00;23,201111111111
2019-06-18 07:00:00;23,243888888888677
2019-06-18 08:00:00;23,631611111111045
2019-06-18 09:00:00;23,676347222222397
2019-06-18 10:00:00;23,52493055555517
2019-06-18 11:00:00;23,450652777777538
2019-06-18 12:00:00;23,403333333333293
2019-06-18 13:00:00;23,333527777777775
2019-06-18 14:00:00;23,625013888889253
2019-06-18 15:00:00;23,750430555555706
2019-06-18 16:00:00;null
