Zulu dateTime;measure_temperature
2019-06-04 16:00:00;null
2019-06-04 17:00:00;null
2019-06-04 18:00:00;null
2019-06-04 19:00:00;null
2019-06-04 20:00:00;null
2019-06-04 21:00:00;null
2019-06-04 22:00:00;null
2019-06-04 23:00:00;null
2019-06-05 00:00:00;null
2019-06-05 01:00:00;null
2019-06-05 02:00:00;null
2019-06-05 03:00:00;null
2019-06-05 04:00:00;null
2019-06-05 05:00:00;null
2019-06-05 06:00:00;null
2019-06-05 07:00:00;null
2019-06-05 08:00:00;null
2019-06-05 09:00:00;null
2019-06-05 10:00:00;null
2019-06-05 11:00:00;null
2019-06-05 12:00:00;null
2019-06-05 13:00:00;null
2019-06-05 14:00:00;null
2019-06-05 15:00:00;null
2019-06-05 16:00:00;null
2019-06-05 17:00:00;null
2019-06-05 18:00:00;null
2019-06-05 19:00:00;null
2019-06-05 20:00:00;null
2019-06-05 21:00:00;null
2019-06-05 22:00:00;null
2019-06-05 23:00:00;null
2019-06-06 00:00:00;null
2019-06-06 01:00:00;null
2019-06-06 02:00:00;null
2019-06-06 03:00:00;null
2019-06-06 04:00:00;null
2019-06-06 05:00:00;null
2019-06-06 06:00:00;null
2019-06-06 07:00:00;null
2019-06-06 08:00:00;null
2019-06-06 09:00:00;null
2019-06-06 10:00:00;null
2019-06-06 11:00:00;null
2019-06-06 12:00:00;null
2019-06-06 13:00:00;null
2019-06-06 14:00:00;null
2019-06-06 15:00:00;null
2019-06-06 16:00:00;null
2019-06-06 17:00:00;null
2019-06-06 18:00:00;null
2019-06-06 19:00:00;null
2019-06-06 20:00:00;null
2019-06-06 21:00:00;null
2019-06-06 22:00:00;null
2019-06-06 23:00:00;null
2019-06-07 00:00:00;null
2019-06-07 01:00:00;null
2019-06-07 02:00:00;null
2019-06-07 03:00:00;null
2019-06-07 04:00:00;null
2019-06-07 05:00:00;null
2019-06-07 06:00:00;null
2019-06-07 07:00:00;null
2019-06-07 08:00:00;null
2019-06-07 09:00:00;null
2019-06-07 10:00:00;null
2019-06-07 11:00:00;null
2019-06-07 12:00:00;null
2019-06-07 13:00:00;null
2019-06-07 14:00:00;null
2019-06-07 15:00:00;null
2019-06-07 16:00:00;null
2019-06-07 17:00:00;null
2019-06-07 18:00:00;null
2019-06-07 19:00:00;null
2019-06-07 20:00:00;null
2019-06-07 21:00:00;null
2019-06-07 22:00:00;null
2019-06-07 23:00:00;null
2019-06-08 00:00:00;null
2019-06-08 01:00:00;null
2019-06-08 02:00:00;null
2019-06-08 03:00:00;null
2019-06-08 04:00:00;null
2019-06-08 05:00:00;null
2019-06-08 06:00:00;null
2019-06-08 07:00:00;null
2019-06-08 08:00:00;null
2019-06-08 09:00:00;null
2019-06-08 10:00:00;null
2019-06-08 11:00:00;null
2019-06-08 12:00:00;null
2019-06-08 13:00:00;null
2019-06-08 14:00:00;null
2019-06-08 15:00:00;null
2019-06-08 16:00:00;null
2019-06-08 17:00:00;null
2019-06-08 18:00:00;null
2019-06-08 19:00:00;null
2019-06-08 20:00:00;null
2019-06-08 21:00:00;null
2019-06-08 22:00:00;null
2019-06-08 23:00:00;null
2019-06-09 00:00:00;null
2019-06-09 01:00:00;null
2019-06-09 02:00:00;null
2019-06-09 03:00:00;null
2019-06-09 04:00:00;null
2019-06-09 05:00:00;null
2019-06-09 06:00:00;null
2019-06-09 07:00:00;null
2019-06-09 08:00:00;null
2019-06-09 09:00:00;null
2019-06-09 10:00:00;null
2019-06-09 11:00:00;null
2019-06-09 12:00:00;null
2019-06-09 13:00:00;null
2019-06-09 14:00:00;null
2019-06-09 15:00:00;null
2019-06-09 16:00:00;null
2019-06-09 17:00:00;null
2019-06-09 18:00:00;null
2019-06-09 19:00:00;null
2019-06-09 20:00:00;null
2019-06-09 21:00:00;null
2019-06-09 22:00:00;null
2019-06-09 23:00:00;null
2019-06-10 00:00:00;null
2019-06-10 01:00:00;null
2019-06-10 02:00:00;null
2019-06-10 03:00:00;null
2019-06-10 04:00:00;null
2019-06-10 05:00:00;null
2019-06-10 06:00:00;null
2019-06-10 07:00:00;null
2019-06-10 08:00:00;null
2019-06-10 09:00:00;null
2019-06-10 10:00:00;null
2019-06-10 11:00:00;null
2019-06-10 12:00:00;null
2019-06-10 13:00:00;null
2019-06-10 14:00:00;null
2019-06-10 15:00:00;null
2019-06-10 16:00:00;null
2019-06-10 17:00:00;null
2019-06-10 18:00:00;null
2019-06-10 19:00:00;null
2019-06-10 20:00:00;null
2019-06-10 21:00:00;null
2019-06-10 22:00:00;null
2019-06-10 23:00:00;null
2019-06-11 00:00:00;null
2019-06-11 01:00:00;null
2019-06-11 02:00:00;null
2019-06-11 03:00:00;null
2019-06-11 04:00:00;null
2019-06-11 05:00:00;null
2019-06-11 06:00:00;null
2019-06-11 07:00:00;null
2019-06-11 08:00:00;null
2019-06-11 09:00:00;null
2019-06-11 10:00:00;null
2019-06-11 11:00:00;null
2019-06-11 12:00:00;null
2019-06-11 13:00:00;null
2019-06-11 14:00:00;null
2019-06-11 15:00:00;null
2019-06-11 16:00:00;null
2019-06-11 17:00:00;null
2019-06-11 18:00:00;null
2019-06-11 19:00:00;null
2019-06-11 20:00:00;null
2019-06-11 21:00:00;null
2019-06-11 22:00:00;null
2019-06-11 23:00:00;null
2019-06-12 00:00:00;null
2019-06-12 01:00:00;null
2019-06-12 02:00:00;null
2019-06-12 03:00:00;null
2019-06-12 04:00:00;null
2019-06-12 05:00:00;null
2019-06-12 06:00:00;null
2019-06-12 07:00:00;null
2019-06-12 08:00:00;null
2019-06-12 09:00:00;null
2019-06-12 10:00:00;null
2019-06-12 11:00:00;null
2019-06-12 12:00:00;null
2019-06-12 13:00:00;null
2019-06-12 14:00:00;null
2019-06-12 15:00:00;null
2019-06-12 16:00:00;null
2019-06-12 17:00:00;null
2019-06-12 18:00:00;null
2019-06-12 19:00:00;null
2019-06-12 20:00:00;null
2019-06-12 21:00:00;null
2019-06-12 22:00:00;null
2019-06-12 23:00:00;null
2019-06-13 00:00:00;null
2019-06-13 01:00:00;null
2019-06-13 02:00:00;null
2019-06-13 03:00:00;null
2019-06-13 04:00:00;null
2019-06-13 05:00:00;null
2019-06-13 06:00:00;null
2019-06-13 07:00:00;null
2019-06-13 08:00:00;null
2019-06-13 09:00:00;null
2019-06-13 10:00:00;null
2019-06-13 11:00:00;null
2019-06-13 12:00:00;null
2019-06-13 13:00:00;null
2019-06-13 14:00:00;null
2019-06-13 15:00:00;null
2019-06-13 16:00:00;null
2019-06-13 17:00:00;null
2019-06-13 18:00:00;null
2019-06-13 19:00:00;null
2019-06-13 20:00:00;null
2019-06-13 21:00:00;null
2019-06-13 22:00:00;null
2019-06-13 23:00:00;null
2019-06-14 00:00:00;null
2019-06-14 01:00:00;null
2019-06-14 02:00:00;null
2019-06-14 03:00:00;null
2019-06-14 04:00:00;null
2019-06-14 05:00:00;null
2019-06-14 06:00:00;null
2019-06-14 07:00:00;null
2019-06-14 08:00:00;null
2019-06-14 09:00:00;null
2019-06-14 10:00:00;null
2019-06-14 11:00:00;null
2019-06-14 12:00:00;null
2019-06-14 13:00:00;null
2019-06-14 14:00:00;null
2019-06-14 15:00:00;null
2019-06-14 16:00:00;null
2019-06-14 17:00:00;null
2019-06-14 18:00:00;null
2019-06-14 19:00:00;null
2019-06-14 20:00:00;null
2019-06-14 21:00:00;null
2019-06-14 22:00:00;null
2019-06-14 23:00:00;null
2019-06-15 00:00:00;null
2019-06-15 01:00:00;null
2019-06-15 02:00:00;null
2019-06-15 03:00:00;null
2019-06-15 04:00:00;null
2019-06-15 05:00:00;null
2019-06-15 06:00:00;null
2019-06-15 07:00:00;null
2019-06-15 08:00:00;null
2019-06-15 09:00:00;null
2019-06-15 10:00:00;null
2019-06-15 11:00:00;null
2019-06-15 12:00:00;null
2019-06-15 13:00:00;null
2019-06-15 14:00:00;null
2019-06-15 15:00:00;null
2019-06-15 16:00:00;null
2019-06-15 17:00:00;null
2019-06-15 18:00:00;null
2019-06-15 19:00:00;null
2019-06-15 20:00:00;null
2019-06-15 21:00:00;null
2019-06-15 22:00:00;null
2019-06-15 23:00:00;null
2019-06-16 00:00:00;null
2019-06-16 01:00:00;null
2019-06-16 02:00:00;null
2019-06-16 03:00:00;null
2019-06-16 04:00:00;null
2019-06-16 05:00:00;null
2019-06-16 06:00:00;null
2019-06-16 07:00:00;null
2019-06-16 08:00:00;null
2019-06-16 09:00:00;null
2019-06-16 10:00:00;null
2019-06-16 11:00:00;null
2019-06-16 12:00:00;null
2019-06-16 13:00:00;null
2019-06-16 14:00:00;null
2019-06-16 15:00:00;null
2019-06-16 16:00:00;null
2019-06-16 17:00:00;null
2019-06-16 18:00:00;null
2019-06-16 19:00:00;null
2019-06-16 20:00:00;null
2019-06-16 21:00:00;null
2019-06-16 22:00:00;27,193194444444416
2019-06-16 23:00:00;26,046749999999797
2019-06-17 00:00:00;25,355361111111144
2019-06-17 01:00:00;25,194861111111027
2019-06-17 02:00:00;24,536277777777887
2019-06-17 03:00:00;24,078944444444325
2019-06-17 04:00:00;24,023333333333223
2019-06-17 05:00:00;24,018472222222098
2019-06-17 06:00:00;23,985111111111323
2019-06-17 07:00:00;23,78915277777805
2019-06-17 08:00:00;23,917500000000025
2019-06-17 09:00:00;23,99611111111098
2019-06-17 10:00:00;24,093722222221977
2019-06-17 11:00:00;24,054249999999858
2019-06-17 12:00:00;24,109666666666325
2019-06-17 13:00:00;24,088277777777666
2019-06-17 14:00:00;24,195999999999906
2019-06-17 15:00:00;25,491333333333337
2019-06-17 16:00:00;25,429055555555852
2019-06-17 17:00:00;25,151000000000007
2019-06-17 18:00:00;25,059847222222437
2019-06-17 19:00:00;25,47999999999985
2019-06-17 20:00:00;25,599583333333044
2019-06-17 21:00:00;25,2665000000002
2019-06-17 22:00:00;25,203694444444302
2019-06-17 23:00:00;25,319583333333572
2019-06-18 00:00:00;25,217305555555534
2019-06-18 01:00:00;25,028791666666375
2019-06-18 02:00:00;24,628500000000315
2019-06-18 03:00:00;24,293611111110977
2019-06-18 04:00:00;24,15166666666636
2019-06-18 05:00:00;24,141555555555442
2019-06-18 06:00:00;24,1617777777776
2019-06-18 07:00:00;24,335805555555968
2019-06-18 08:00:00;24,55890277777784
2019-06-18 09:00:00;25,094416666666664
2019-06-18 10:00:00;25,269611111111328
2019-06-18 11:00:00;25,339805555555763
2019-06-18 12:00:00;25,269805555555727
2019-06-18 13:00:00;25,200583333333377
2019-06-18 14:00:00;25,20174999999996
2019-06-18 15:00:00;25,632249999999676
2019-06-18 16:00:00;null
